,service_id,date,exception_type
0,1,20250610,1
1,1,20250617,2
2,1,20250624,2
3,1,20250701,2
4,1,20250708,2
5,1,20250715,2
6,2,20250606,2
7,2,20250609,2
8,2,20250610,2
9,2,20250611,2
10,2,20250612,2
11,2,20250619,2
12,4,20250609,1
13,4,20250611,1
14,4,20250612,1
15,4,20250616,2
16,4,20250618,2
17,4,20250619,2
18,4,20250623,2
19,4,20250625,2
20,4,20250626,2
21,4,20250630,2
22,4,20250702,2
23,4,20250703,2
24,4,20250707,2
25,4,20250709,2
26,4,20250710,2
27,4,20250714,2
28,4,20250716,2
29,4,20250717,2
30,5,20250606,1
31,5,20250613,2
32,5,20250620,2
33,5,20250627,2
34,5,20250704,2
35,5,20250711,2
36,5,20250718,2
37,6,20250619,1
